sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SubscriberUserLogin,100,10311,3581,16156,2721.277545914787,0.0,0.7634753397465261,0.5135564590013743,688.8
FindPOIs,100,228,197,525,32.26828009051615,0.0,0.7832816367453082,1.3095489864335619,1712.0
PinPOI,100,125,54,818,131.43779479282207,0.0,0.7839202282775705,0.3441516978732244,449.55
UnPinPOI,100,78,52,627,65.94947990697122,0.0,0.7842030144763876,0.3430888188334196,448.0
TOTAL,400,2685,52,16156,4609.274286086152,0.0,3.0420332950544147,2.4496314743024237,824.5875
