sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
PrintAuthoredRoute50K,1,17173,17173,17173,0.0,0.0,0.058230943923601,244.91798535491762,4306920.0
TOTAL,1,17173,17173,17173,0.0,0.0,0.058230943923601,244.91798535491762,4306920.0
