sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/osmaps/scripts/getClientHasAuthorisation.php,200,948,261,4685,875.6159426940558,0.0,22.24694104560623,11.905589543937708,548.0
/osmaps/scripts/requestPOICategories.php,200,511,43,1298,357.40461661120156,0.0,22.338880822070813,22.46977270188764,1030.0
Login,200,2334,0,6949,821.3748692892917,0.005,16.909029421711192,18.994503904928983,1150.295
FindWeather,200,685,125,1454,415.53993201616623,0.0,18.917896329928112,20.11855461360197,1088.99
TOTAL,800,1119,0,6949,975.2962911012927,0.00125,64.26735218508998,59.89423815572783,954.32125
