sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
PrintCustomTrail25K,16,11172,6180,19553,3923.6516075589584,0.0,0.08163556861724654,300.15230135770156,3764976.0
TOTAL,16,11172,6180,19553,3923.6516075589584,0.0,0.08163556861724654,300.15230135770156,3764976.0
