sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
DiscoverRoutes,200,2178,1074,5090,633.3553053184286,0.0,14.74056603773585,78.79660264501032,5473.855
FindPOIs,200,2185,729,4527,854.6789649336177,0.0,15.20103367028958,25.41422816751539,1712.0
SubscriberUserLogin,200,234683,4812,478835,204675.26399315454,0.425,0.4170263518951763,0.5780864902228172,1419.48
PlotWaypoint1,115,846,773,1518,110.67737681717225,0.0,1.6782686105395268,2.8615790957050917,1746.0
PlotWaypoint2,115,169,157,437,32.38387425724819,0.0,1.6952400607338178,2.8888612363090935,1745.0
PlotWaypoint3,115,171,160,476,37.75614723544071,0.0,1.6950151814403207,2.870269848259293,1734.0
SaveRoute,115,81,36,1485,146.01368400538422,0.0,1.697767804417149,0.8374943253956537,505.1304347826087
PrintRoute,115,531,34,4789,1169.6084361175876,0.0,1.7344876474314501,341.8891816753265,201843.19130434783
TOTAL,1175,40865,34,478835,121808.62121762967,0.07234042553191489,2.436040966952772,51.81445976580317,21780.424680851065
