sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SubscriberUserLogin,300,282266,1361,614116,284582.86395299446,0.43,0.41697012826001145,0.6184147495017207,1518.71
SearchLocation,171,811,621,1043,54.58995135141885,0.0,0.23889654941176963,0.2812475333232745,1205.53216374269
HTTP Request,1368,216,39,40548,1188.5590796857155,0.0,1.9094571167755858,13.377292626571325,7173.948830409357
SearchedLocationTile,171,81,71,144,10.428348533247096,0.0,0.2391019832880298,19.44735047081068,83287.0
DiscoverRoutes,171,1796,90,32002,5593.3077903464255,0.0,0.2391143539927203,0.9749047147652414,4175.0
OpenClusteredRoutes,171,166,92,3335,248.17629557274506,0.0,0.2589414292658329,0.4038373657593117,1597.0
ViewAuthoredRoute,171,147,86,1294,104.16702809006756,0.0,0.25894691891024235,0.3798225314484219,1502.0
TOTAL,2523,33884,39,614116,134010.12105751736,0.05112960760998811,3.494614719765973,35.11675833451067,10289.992865636148
