sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
DiscoverRoutes,20,471,403,610,46.711989895529065,0.0,3.7601052829479227,19.443856927993984,5295.2
FindPOIs,20,227,207,256,13.569358864736474,0.0,3.9047247169074577,6.169770109332292,1618.0
SubscriberUserLogin,20,1054,792,1885,267.96874351311914,0.0,2.9537734455767244,1.7119770897947129,593.5
PlotWaypoint1,20,82,70,102,7.242064622744001,0.0,3.3789491468153403,5.761372275722251,1746.0
PlotWaypoint2,20,18,16,33,4.023679907746149,0.0,3.4036759700476513,5.800209538801906,1745.0
PlotWaypoint3,20,23,18,77,12.539836522060403,0.0,3.4054146092286732,5.766590754299336,1734.0
SaveRoute,20,266,208,344,40.73254227273305,0.0,3.2378177108628785,1.3752820442771574,434.95
PrintRoute,20,5333,2973,7032,1179.4838320214496,0.0,1.803914494452963,2401.0260468341303,1362953.0
TOTAL,160,934,16,7032,1746.0603615264135,0.0,12.158054711246201,2042.3508293360562,172014.95625
