sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SubscriberUserLogin,20,1070,752,5989,1130.1931958740506,0.0,1.9479887016655302,1.12903446722509,593.5
SearchLocation,20,860,789,1623,189.1769740216816,0.0,1.9657951641438962,2.308081568213092,1202.3
HTTP Request,160,117,38,497,92.00937367328396,0.0,15.024884965724482,105.23948844961969,7172.45
SearchedLocationTile,20,80,69,128,12.707773211700001,0.0,2.126754572522331,172.9795000797533,83287.0
DiscoverRoutes,20,274,113,3118,652.3944742255256,0.0,2.1283388315419813,8.089350324571672,3892.0
TOTAL,240,269,38,5989,501.39386381034484,0.0,19.31745009658725,230.07762194140375,12196.2
