sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SubscriberLogin,100,785,6,8845,1702.855857053086,0.81,10.060362173038229,17.007120850100605,1731.08
DiscoverRoutes,100,10190,3214,16333,3048.4027424210162,0.0,4.837461300309598,14.079799593048568,2980.43
FindPOIs,100,3466,203,11204,2592.339176188177,0.0,5.670541536716756,9.725477122908988,1756.25
PlotWaypoint1,100,229,76,340,44.15531225118897,0.0,7.96431984708506,13.57978755176808,1746.0
PlotWaypoint2,100,191,42,381,56.376607737606875,0.0,7.956715467854869,13.559051261139402,1745.0
PlotWaypoint3,100,195,45,274,44.52242580992194,0.0,7.903888713246918,13.384124051533355,1734.0
SaveRoute,100,355,30,5130,925.9721146449282,0.0,7.421150278293135,3.9764755333951762,548.69
PrintRoute,100,955,26,6669,1992.9662963532523,0.0,5.778342771293193,1386.6317927127875,245729.79
TOTAL,800,2046,6,16333,3672.3589967142966,0.10125,27.864855451062347,877.4818497474747,32246.405
