sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SubscriberUserLogin,100,211334,634,1002287,406840.53843494557,0.49,0.08910543489689611,1.0707549502524356,12305.12
FindPOIs,79,1341,188,51319,5984.834218771786,0.34177215189873417,0.07073763233085871,1.0396978655255222,15050.696202531646
PinPOI,79,2771,55,50672,10570.39397055936,0.2911392405063291,0.07080369362255896,0.8421872493302778,12180.151898734177
UnPinPOI,79,2201,51,49302,9080.04811289096,0.25316455696202533,0.07087413829607805,0.7371861842866653,10650.974683544304
TOTAL,337,64190,51,1002287,241464.71122682813,0.35311572700296734,0.30010427955826785,3.6726666558320415,12531.679525222551
