sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Subscriber:SubscriberLogin,600,11861,1007,25618,6869.415868098894,0.31666666666666665,3.0018611539154274,14.03282632888641,4786.901666666667
Subscriber:DiscoverRoutes,600,6778,110,20637,6876.4723149777565,0.15166666666666667,3.055409857770671,22.569010688523882,7563.8516666666665
Subscriber:FindPOIs,600,1720,78,13430,2516.3958892823725,0.15333333333333332,3.0674376159874845,21.735012212236008,7255.78
Subscriber:SearchLocation,600,642,490,1471,143.76203424022916,0.0,3.065149758108598,5.034917563435829,1682.0566666666666
Subscriber:PlotWaypoint1,600,129,100,706,43.28325539076545,0.0,3.0743059754260473,5.241931868255741,1746.0
Subscriber:PlotWaypoint2,600,244,185,3299,135.16327549177944,0.0,3.073613032119256,5.237748770554787,1745.0
Subscriber:PlotWaypoint3,600,133,102,666,38.88212257009065,0.0,3.0887235849785077,5.230319039406965,1734.0
Subscriber:SaveRoute,600,1158,42,13232,1642.4427271969707,0.11833333333333333,3.0808729139922977,3.579263278241335,1189.6516666666666
Subscriber:PrintRoute,600,34806,41,94741,30341.19340176743,0.09,2.175686701115039,1686.7185198248121,793864.1916666667
TOTAL,5400,6386,41,94741,15129.096582666412,0.09222222222222222,18.41400828630373,1641.5309814623793,91285.27037037037
