sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Subscriber:SubscriberLogin,100,2692,1623,5839,1057.6577636929633,0.0,5.021592849251783,4.404682321482374,898.2
Subscriber:DiscoverRoutes,100,3555,994,7917,1900.1335682261918,0.0,4.673989249824725,14.049628271792475,3078.06
Subscriber:FindPOIs,100,795,245,1800,492.7019158680022,0.0,4.78080030597122,8.730563058756035,1870.0
Subscriber:SearchLocation,100,237,86,411,61.81171005561966,0.0,4.7714476572192,7.842228355520565,1683.02
Subscriber:PlotWaypoint1,100,168,16,409,48.64922918197164,0.0,4.7862920595414735,8.161001890585363,1746.0
Subscriber:PlotWaypoint2,100,177,19,249,33.71839260700308,0.0,4.797773832941515,8.17589388523725,1745.0
Subscriber:PlotWaypoint3,100,174,18,344,39.670573477074896,0.0,4.830684507994783,8.180084899280228,1734.0
Subscriber:SaveRoute,100,1069,317,2443,435.6787275045683,0.0,4.771220000954244,2.4552213547879194,526.94
Subscriber:PrintRoute,100,30251,9226,38524,5266.068559219487,0.0,1.727563272004837,2299.526742139587,1363027.0
TOTAL,900,4347,16,38524,9426.983531154885,0.0,14.129615674453655,2110.102669074589,152923.13555555555
