sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SubscriberUserLogin,400,2821,681,10380,2465.5656009309,0.0,4.581376703699461,3.030016965410606,677.25
TOTAL,400,2821,681,10380,2465.5656009309,0.0,4.581376703699461,3.030016965410606,677.25
